23.03. 17:17:37.094    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:17:37.104    About to launch main game executable.
23.03. 17:17:37.109    Writing settings INI.
23.03. 17:17:37.110    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:17:37.110    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:17:37.116    GameProcessLogic: Process started.
23.03. 17:17:37.128    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:18:53.305    GameProcessLogic: Process exited.
23.03. 17:18:53.353    GameProcessExited: Parsing statistics.
23.03. 17:18:53.353    Parsing game statistics.
23.03. 17:18:53.353    Attempting to read statistics from debug/debug.log
23.03. 17:18:53.354    GameProcessExited: Adding match to statistics.
23.03. 17:18:53.354    Skipping adding match to statistics because game only had one player.
23.03. 17:20:48.818    Writing spawn.ini
23.03. 17:20:48.820    Writing map.
23.03. 17:20:48.820    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:20:48.834    About to launch main game executable.
23.03. 17:20:48.839    Writing settings INI.
23.03. 17:20:48.840    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:20:48.840    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:20:48.845    GameProcessLogic: Process started.
23.03. 17:20:48.858    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:21:38.352    GameProcessLogic: Process exited.
23.03. 17:21:38.473    GameProcessExited: Parsing statistics.
23.03. 17:21:38.473    Parsing game statistics.
23.03. 17:21:38.474    Attempting to read statistics from debug/debug.log
23.03. 17:21:38.474    GameProcessExited: Adding match to statistics.
23.03. 17:21:38.475    Skipping adding match to statistics because game only had one player.
23.03. 17:21:39.772    Writing spawn.ini
23.03. 17:21:39.774    Writing map.
23.03. 17:21:39.774    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:21:39.787    About to launch main game executable.
23.03. 17:21:39.792    Writing settings INI.
23.03. 17:21:39.793    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:21:39.793    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:21:39.801    GameProcessLogic: Process started.
23.03. 17:21:39.814    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:22:33.575    GameProcessLogic: Process exited.
23.03. 17:22:33.622    GameProcessExited: Parsing statistics.
23.03. 17:22:33.622    Parsing game statistics.
23.03. 17:22:33.622    Attempting to read statistics from debug/debug.log
23.03. 17:22:33.634    GameProcessExited: Adding match to statistics.
23.03. 17:22:33.635    Skipping adding match to statistics because game only had one player.
23.03. 17:23:24.850    Writing spawn.ini
23.03. 17:23:24.851    Writing map.
23.03. 17:23:24.851    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:23:24.861    About to launch main game executable.
23.03. 17:23:24.866    Writing settings INI.
23.03. 17:23:24.868    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:23:24.868    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:23:24.874    GameProcessLogic: Process started.
23.03. 17:23:24.887    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:23:56.551    GameProcessLogic: Process exited.
23.03. 17:23:56.710    GameProcessExited: Parsing statistics.
23.03. 17:23:56.710    Parsing game statistics.
23.03. 17:23:56.711    Attempting to read statistics from debug/debug.log
23.03. 17:23:56.711    GameProcessExited: Adding match to statistics.
23.03. 17:23:56.711    Skipping adding match to statistics because game only had one player.
23.03. 17:23:57.905    Writing spawn.ini
23.03. 17:23:57.907    Writing map.
23.03. 17:23:57.907    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:23:57.917    About to launch main game executable.
23.03. 17:23:57.923    Writing settings INI.
23.03. 17:23:57.924    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:23:57.924    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:23:57.931    GameProcessLogic: Process started.
23.03. 17:23:57.944    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:25:08.640    GameProcessLogic: Process exited.
23.03. 17:25:08.759    GameProcessExited: Parsing statistics.
23.03. 17:25:08.760    Parsing game statistics.
23.03. 17:25:08.760    Attempting to read statistics from debug/debug.log
23.03. 17:25:08.761    GameProcessExited: Adding match to statistics.
23.03. 17:25:08.761    Skipping adding match to statistics because game only had one player.
